,Service,Type,Rating,Hires,Price,Zip Code
0,Roy Bowman,61,4,21,45/hour,70802
1,Pipe Runner Plumbing Repair,61,5,6,,70802
2,Christina's Sparkling Touch,61,4.5,27,27/hour,70802
3,J&M Restoration Solutions LLC,61,5,,,70802
