,Service,Type,Rating,Hires,Price,Zip Code
0,Californian Home Remodeling,6,4.5,5,,90013
1,"5 BLOX, INC.",6,4.5,67,,90013
2,SB Construction & Remodeling,6,5,3,,90013
3,KYRA CONSTRUCTION,6,4.5,25,,90013
4,Nobu Home Remodeling Inc,6,5,8,,90013
5,CURTIS CONSTRUCTION SERVICES,6,5,35,,90013
6,Ofir construction Inc.,6,5,19,,90013
7,Y.S. Remodeling & Design,6,5,5,,90013
8,"Vision Home Remodeling, Inc",6,5,3,,90013
9,Liebobuilders,6,4.5,28,,90013
10,American B General Contractor,6,4,30,,90013
11,CAL FIRST BUILDERS INC,6,5,16,,90013
12,BK Remodelers,6,5,13,,90013
13,Adobe Builders Inc.,6,5,2,,90013
14,T&N Remodeling Inc,6,5,3,,90013
15,Create Construction Inc,6,5,,,90013
16,Baldwin Builder,6,5,,,90013
17,Jm Alpha Construction Inc,6,5,6,,90013
18,Q General Construction,6,5,5,,90013
19,"Living Process, LLC",6,5,,,90013
20,AKT Home Builders,6,5,3,,90013
21,509 Construction,6,4,38,,90013
22,EXCEL CONSTRUCTION LA,6,4,139,,90013
23,AKR Construction,6,5,,,90013
24,Good Samaritan Builders,6,5,,,90013
25,Gedikian Enterprises,6,5,,,90013
26,BuenaVenture Construction,6,5,,,90013
27,H&H Design&Renovation,6,5,,,90013
28,Right Image builders inc,6,,,,90013
29,"AMERICAN HOME IMPROVEMENT, INC.",6,5,,,90013
