,Service,Type,Rating,Hires,Price,Zip Code
0,EK Painting,152,5,64,,17101
1,Hauzienda Studio LLC,152,5,,85/hour,17101
2,Savvy Spaces by Arti LLC,152,5,5,60/hour,17101
3,Olive Bauers Interior,152,5,,125/hour,17101
4,JamieLynn's Designs,152,4.5,26,,17101
5,Purgistics,152,5,,75/hour,17101
6,"Susan Hopkins Interior Design, LLC",152,,,,17101
7,LUCA CASA Interior Design New York City,152,,,,17101
