,Service,Type,Rating,Hires,Price,Zip Code
0,LV Photography,384,5,162,150,89101
1,Marina and Camera,384,5,5,125,89101
2,Empower Photography,384,5,5,149,89101
3,Aesthetic Photoworks,384,5,40,220,89101
4,Troy Shay,384,5,7,175,89101
5,An Image Above Photography,384,5,14,90,89101
6,Pearvue Aerial Productions,384,4.5,13,,89101
7,MadMeat,384,5,11,150,89101
8,Vera Vista 3D,384,5,5,199,89101
9,CanyonRidge Photography,384,5,6,150,89101
10,Dakota Photo,384,5,2,350,89101
11,Lisa M Branum Photography,384,5,5,150,89101
12,Sky View Las Vegas,384,5,,175,89101
13,Gray's Photography,384,5,,,89101
14,Meg Meyer Photography,384,5,10,,89101
15,Shootwithscoot,384,5,,150,89101
16,Jann Hendry Photography,384,4.5,17,175,89101
17,The Art Photographers,384,4.5,37,175,89101
18,Harvey Linenschmidt,384,3.5,8,100,89101
19,Francis George photography,384,,,150,89101
