,Service,Type,Rating,Hires,Price,Zip Code
0,"Aesthetic Decor, LLC",3,5,26,125/hour,06604
1,Lynn Cesaria STYLE,3,5,3,120/hour,06604
2,Jenine Beck Design,3,5,33,75/hour,06604
3,Dimension Restoration & Construction,3,5,96,92/hour,06604
4,Soudi Amini Design,3,5,12,125/hour,06604
5,"Inspired Design, LLC.",3,5,4,150/hour,06604
6,Happy Your Space,3,5,,,06604
7,Savvy Spaces by Arti LLC,3,5,5,60/hour,06604
8,D&D Designs LLC,3,5,5,100/hour,06604
9,Angelika Design Studio,3,5,22,150/hour,06604
10,"Jody Fierz Interior Design, INC",3,5,27,,06604
11,JLK Interiors,3,5,7,,06604
12,Magi Designs,3,5,73,120/hour,06604
13,SewThis,3,5,2,,06604
14,Pegasus Interiors,3,5,,,06604
15,Danise Talbot Design,3,5,,100/hour,06604
16,Hadar Interiors Inc.,3,,,170/hour,06604
17,Fairfield Interiors,3,,,150/hour,06604
18,My Strongest Suit. LLC,3,,,125/hour,06604
19,"Susan Hopkins Interior Design, LLC",3,,,,06604
20,ByRagolia,3,5,,,06604
21,Jocelyn Designs,3,,,90/hour,06604
22,LUCA CASA Interior Design New York City,3,,,,06604
