,Service,Type,Rating,Hires,Price,Zip Code
0,Junichi's Bass Lesson,459,5,12,50/hour,10007
1,Louis Pettinelli Entertainment,459,5,699,60/hour,10007
2,Daniel Hass Cello Lessons,459,5,,85/hour,10007
3,Benjamin Young Music Lessons,459,5,,60/hour,10007
4,Mattie Safer,459,5,16,51/hour,10007
5,Cole Blouin,459,5,,40/hour,10007
6,Marcelo Maccagnan,459,5,99,60/hour,10007
7,All Around Music: Experts in Online Lessons,459,5,127,60/hour,10007
8,Double bass lessons,459,5,,80/hour,10007
9,Rodrigo Moreira,459,5,,60/hour,10007
10,Dom Minasi,459,5,82,50/hour,10007
11,steve marks,459,5,,,10007
12,JSNY home Guitar Workshop,459,5,,25/hour,10007
13,"George Farmer Bass, Guitar & Ukulele Instruction",459,5,,,10007
14,Pimenta Music Lessons,459,5,5,75/hour,10007
15,Almog Sharvit Music,459,5,,,10007
16,Learn The Bass!,459,5,,50/hour,10007
17,Jackson Hill,459,5,7,55/hour,10007
18,Jimi Durso,459,5,26,50/hour,10007
19,Kevin McNeal,459,5,12,50/hour,10007
20,Stefano Battaglia,459,5,3,50/hour,10007
21,Master Your Guitar Music Academy,459,5,5,50/hour,10007
