,Service,Type,Rating,Hires,Price,Zip Code
0,Wine and Dine US,393,5,215,,96813
1,Jjonesgraphics,393,5,17,,96813
2,Abbott Events,393,4.5,88,,96813
3,Save The Day Design,393,5,2,,96813
4,Pao Craft Cocktails LLC.,393,5,22,,96813
5,Visionary Events,393,5,10,,96813
6,Virtuous Women Gift Baskets LLC,393,5,12,,96813
7,Lady Mouse Productions Wedding Coordinator,393,5,4,,96813
8,Sovereign's Sweets LLC,393,4.5,10,,96813
9,Bash,393,5,10,,96813
10,"Golden State Events, LLC",393,4.5,14,,96813
11,Amanda's Errands and Events,393,5,,,96813
12,KMP Event Rentals & Production LLC,393,5,2,,96813
13,On Occasions by MJ Accredited Event Designer,393,,,,96813
14,The Bartender,393,5,3,,96813
15,Whole House Handyman,393,5,26,,96813
16,Baires Designs,393,5,,,96813
17,The Big Day Wedding Coordination,393,5,4,,96813
18,LULU & MORE EVENTS,393,5,,,96813
19,justCARR Creative Consulting,393,5,,,96813
20,Taste 2 Tha Face Bartending Services,393,5,7,,96813
21,George Miller Designs,393,5,31,,96813
22,PlanWithJoan LLC,393,5,4,,96813
23,Exquisite Weddings And Events,393,5,5,,96813
24,Digital Motion Event Services,393,5,2,,96813
25,Cloud Stock Hookah,393,5,,,96813
26,Pretty Petal Occasions,393,5,,,96813
27,Array LLC,393,5,,,96813
28,Weddings by L&K,393,5,2,,96813
29,Samantha chicchetti,393,5,,,96813
