,Service,Type,Rating,Hires,Price,Zip Code
0,Face Art By Jamie,428,5,387,100/hour,21401
1,The Mehndi Diary,428,5,29,80/hour,21401
2,Angeliana's Atelier Henna,428,5,3,80/hour,21401
3,B Free Designs by Vicenta,428,5,11,85/hour,21401
4,Henna art,428,5,94,70/hour,21401
