,Service,Type,Rating,Hires,Price,Zip Code
0,Elevate your soccer Games & Skills,502,5,2,60/hour,98507
1,Girl Boss Sports,502,5,6,50/hour,98507
2,Stephen Swanger Soccer Strikers & Goalkeepers,502,5,,,98507
