,Service,Type,Rating,Hires,Price,Zip Code
0,Jay Lazrus,309,5,79,200/hour,21401
1,Law Offices of Mark L. Rosenberg,309,5,14,,21401
2,Law Office of Joseph Bruce,309,4.5,4,200/hour,21401
