,Service,Type,Rating,Hires,Price,Zip Code
0,B. Remembered Productions,376,5,217,500,02903
1,Ocean State Events,376,5,2,,02903
2,Unique Melody Events & Design,376,5,37,"5,500",02903
3,MOR-EVENTS New England,376,5,16,600,02903
4,M Fox Events LLC,376,4.5,6,600,02903
5,The Professional Maid of Honor,376,5,23,900,02903
6,"Elaborate Wedding & Event Planner, LLC",376,5,28,550,02903
7,Eleni Vera,376,4,15,800,02903
8,Exquisite Weddings & Eventz,376,5,4,600,02903
9,Beautiful Days With Brandi,376,4.5,32,"1,250",02903
10,Ceremonies By Kristi,376,5,19,200,02903
11,Robin McKenna Hair and Make-up Artist,376,5,75,200,02903
12,Carraway Creations LLC,376,5,3,,02903
13,Designs By Mimi,376,5,53,600,02903
14,A. Merisier Event Coordination & Design,376,5,7,"4,000",02903
15,Lydia’s Kreationz,376,5,8,550,02903
16,Blinkedtobeauty,376,5,2,120,02903
17,Edra Couture Bridal,376,5,15,175,02903
18,Beauty Refined Hair and Makeup Design by Sunny,376,5,42,225,02903
19,Andrea Muldoon Lashes + Makeup,376,5,,,02903
20,"Maryland Notary & Consultants, LLC",376,5,5,300,02903
21,Simply Elegant Event Decor & Planner,376,,,900,02903
22,ChicCreativeConcepts by Tish,376,5,,,02903
23,PHIN Events + Catering,376,,,"2,010",02903
24,The Davishing Divas Hair Lair,376,5,,100,02903
25,"Hopson’s Event and Wedding Connection, LLC",376,5,,850,02903
26,POSH EVENTS,376,,,,02903
27,Kelsey Masnyk,376,5,15,150,02903
28,Actualité Event & Design,376,5,20,,02903
29,Sweet As Lace Weddings & Events,376,5,2,,02903
