,Service,Type,Rating,Hires,Price,Zip Code
0,Frank Puccio,7,5,2,60,40601
1,Body Evolution 🍃 💪🏼,7,5,212,65,40601
2,Execute Training,7,5,8,40,40601
3,Custom Built Bodies By Zo,7,5,9,40,40601
4,ISAAK HAWK COACHING,7,5,52,60,40601
5,TOD enterprises,7,5,2,50,40601
6,Beau Gardner,7,5,142,"1,000",40601
7,TMaura,7,5,,135,40601
8,"Geoff Young, B.S. Exercise Science",7,5,8,85,40601
9,Markstrong Training,7,5,11,50,40601
10,Weight & Wellness,7,5,,,40601
11,Nick Park Fitness,7,5,12,35,40601
12,Wave Fitness $270 for 10x60min,7,5,20,27,40601
13,Med Tabar,7,5,,70,40601
14,Klasik Fit,7,5,36,,40601
15,Think Healthy Fitness Personal Training,7,5,4,70,40601
16,Kickoff: Daily remote training for $3/day,7,5,,,40601
17,Kanthaka Personal Trainers and Yoga Instructors,7,4.5,52,42,40601
18,Elite Training,7,5,2,60,40601
19,Justin Cayton,7,5,,70,40601
20,Runonheart Personal Training Fitness and Nutrition,7,5,18,65,40601
21,Rising Tide Wellness,7,5,,55,40601
22,Run For Life Performance & Physical Therapy,7,5,,95,40601
23,Odd Fit LLC,7,5,,50,40601
24,Zion Health and Wellness,7,5,298,60,40601
25,HypertroFit LLC,7,5,185,255,40601
26,"GIRLS ONLY, 📍LOS ANGELES/ OFFER REMOTE TRAINING",7,5,64,110,40601
27,"Dr Val Fiott, Health, Fitness & Wellness Coach",7,5,,100,40601
28,Todd's Health Zone,7,5,7,40,40601
29,Virtual Wedding Officiant NY/NJ,7,5,682,75,40601
