,Service,Type,Rating,Hires,Price,Zip Code
0,MTES Engineering Services,319,5,25,,11021
1,"BDW Analysis, LLC",319,5,,,11021
2,CAD Design Help,319,5,128,,11021
3,Kingslien Creations - 3D Modeling & Product Design,319,5,56,,11021
4,Design Prototype Consult LLC,319,5,,,11021
5,"Robert P. Pryor, P.E., L.S.",319,5,3,,11021
6,"AlphaBeta Engineering, PC",319,5,,,11021
7,"Kamran Moayedi, P.E,",319,5,12,,11021
8,"Group R Technology, Inc.",319,5,8,,11021
9,Aura Telecom,319,4.5,35,,11021
10,Rick Nelson Mechanical Designs,319,5,,,11021
11,Sway Engineering and Prototyping (April Tornquist),319,5,3,,11021
12,Fabián LLC,319,5,,,11021
13,Tandem Construction,319,5,37,,11021
14,Reza (Ray) Sharifzadeh,319,5,5,,11021
15,Jeff Waters Consulting / Equalis LLC,319,5,20,,11021
16,Greg Riggan,319,5,,,11021
17,Wolf Design & Consulting,319,5,3,,11021
18,Pruitt Digital,319,4.5,48,,11021
19,Buoy Design,319,5,,,11021
20,ScoJay Designs,319,5,,,11021
21,Alf-CAD,319,,,,11021
22,CAD 👨‍💻 Workstation 🚀,319,5,2,,11021
23,MAKERMONSTER Studios - App & Web Development,319,5,,,11021
24,"PT Computing, LLC",319,5,,,11021
25,Tipping Toast Media LLC,319,4.5,23,,11021
26,Trinity,319,,,,11021
27,"CORE Consulting, LLC",319,5,,,11021
28,Wellings Consulting Design,319,5,,,11021
29,Clarence Schlarb Designs,319,5,,,11021
