,Service,Type,Rating,Hires,Price,Zip Code
0,Exquisite Weddings & Eventz,376,5,4,600,36104
1,Beautiful Days With Brandi,376,4.5,32,"1,250",36104
2,Ceremonies By Kristi,376,5,19,200,36104
3,Carraway Creations LLC,376,5,3,,36104
4,Designs By Mimi,376,5,53,600,36104
5,A. Merisier Event Coordination & Design,376,5,7,"4,000",36104
6,"Maryland Notary & Consultants, LLC",376,5,5,300,36104
7,The Byron Marcelle Experience,376,5,,165,36104
8,Simply Elegant Event Decor & Planner,376,,,900,36104
9,PHIN Events + Catering,376,,,"2,010",36104
10,ChicCreativeConcepts by Tish,376,5,,,36104
11,"Hopson’s Event and Wedding Connection, LLC",376,5,,850,36104
12,POSH EVENTS,376,,,,36104
13,Actualité Event & Design,376,5,20,,36104
14,Sweet As Lace Weddings & Events,376,5,2,,36104
15,Fantaisie Events & Design,376,5,,"1,500",36104
16,Everlasting Weddings By Grace,376,5,5,"1,000",36104
17,Whimsical Wedding and event planning,376,,,250,36104
18,PLS Coordinate,376,5,14,,36104
19,RJS Event Designs,376,4.5,6,,36104
20,Coastal Sage Events & Design,376,5,3,"2,000",36104
21,Kavoossi Konsulting,376,5,,,36104
