,Service,Type,Rating,Hires,Price,Zip Code
0,Soul Timeless Tarot,427,5,29,25,02903
1,🔮 Psychic & Tarot 🔮 The Star Whisperer,427,5,74,44,02903
2,Natalia's Psychic Studio,427,5,6,35,02903
3,Psychic Connection Co,427,5,47,25,02903
4,"Pixye Dust, Reiki Master/Tarot Card Reader",427,5,27,33,02903
5,The Tarot Cards,427,5,,30,02903
6,Psychic Medium Kevin Kas,427,5,40,35,02903
7,Spiritual Psychic Trey Leon,427,5,26,30,02903
8,Scorpio_Sun_and_Moon,427,5,44,33,02903
9,Sync with Divinities,427,5,,25,02903
10,Mackenzie Iglesias,427,5,5,33,02903
11,"Transformation Time With Lilly, L.L.C.",427,5,141,75,02903
12,Smileys Tarrot Reading,427,4.5,21,40,02903
13,THEBLCKEMPRESS,427,5,,30,02903
14,Jewel Consultancy,427,5,3,35,02903
15,Pharaoh Essentials,427,5,13,50,02903
16,Guiding Tarot by April,427,5,26,25,02903
17,Mystic Sophie,427,5,,,02903
18,Spiritual Insight,427,5,,40,02903
19,"Robin Wells: Tarot, Reiki, Coaching",427,5,5,25,02903
20,Blue Goddess Tarot,427,5,10,25,02903
21,Cayli McGuire,427,5,11,30,02903
22,"Purple Healing, Llc",427,5,55,50,02903
23,Five Star Virgo,427,5,63,30,02903
24,✨Angel Answers Psychic Tarot Card Readings✨,427,4.5,50,43,02903
25,Intuitive guidance by intuitive Tara,427,5,2,,02903
26,Madame Jen Tarot Intuitive,427,5,9,25,02903
27,Golden Opportunities Coaching,427,5,62,,02903
28,Readings by Eustace,427,5,5,44,02903
29,The Chakra Oracle,427,5,16,26,02903
