,Service,Type,Rating,Hires,Price,Zip Code
0,AAA DJ services/Karaoke shows,404,5,23,190/hour,89701
1,Cory Entertainment,404,5,13,125/hour,89701
2,World Famous Ent.,404,4.5,44,175/hour,89701
3,Advantage DJ and Karaoke,404,5,,150/hour,89701
