,Service,Type,Rating,Hires,Price,Zip Code
0,Dekree Studio,324,5,112,500/logo,40601
1,"Moonlit Media | Brand Identity, Logos & Websites",324,5,421,195/logo,40601
2,Ctrell Designs,324,5,145,,40601
3,"Spark Creative | Logo, Graphic, Website",324,5,1234,198/logo,40601
4,Derek Fullmer,324,5,42,200/logo,40601
5,Ansari Designs and Visuals,324,5,,150/logo,40601
6,Plum Creative Consulting LLC,324,5,30,298/logo,40601
7,Websites Lead Gen LLC,324,5,25,100/logo,40601
8,xxDarkMagickxx Designs,324,5,2,50/logo,40601
9,CoCreative Design & Print,324,5,,,40601
10,CloudKarma Designs,324,5,24,275/logo,40601
11,NightOwLogos,324,5,9,125/logo,40601
12,High Crown Marketing,324,5,2,75/logo,40601
13,Maxwell Designs |Logo and Website Design,324,5,139,100/logo,40601
14,Design Beyond the Lines,324,5,37,200/logo,40601
15,"Gineva DesignGroup, Inc.",324,5,16,200/logo,40601
16,Mike Dro Design Co,324,5,,,40601
17,Instinctive Branding: Digital Marketing Agency,324,5,9,750/logo,40601
18,A&B Consulting Group,324,5,2,250/logo,40601
19,Graphics by G,324,5,66,250/logo,40601
20,Julie Luksik Design,324,5,14,250/logo,40601
21,"Savvy Graphics, Inc. & Photography by Kimberly",324,5,55,,40601
22,Trilogy Productions,324,5,19,300/logo,40601
23,ML.Graphics - Imagination to Creation,324,5,8,200/logo,40601
24,Logozigner,324,5,38,249/logo,40601
25,Crosscheck Designs - Web Design & Development,324,5,220,50/hour,40601
26,Jjonesgraphics,324,5,16,250/logo,40601
27,Mochi Media Studio,324,5,15,150/logo,40601
28,Fix&Assemble,324,5,12,50/logo,40601
29,Jen Brookman • TOP PRO 7 YEARS STRAIGHT,324,5,145,750/logo,40601
