,Service,Type,Rating,Hires,Price,Zip Code
0,Susan Ward,30,5,86,40,55404
1,Tim Chernikoff Jazz,30,5,8,50,55404
2,Beckle Music Studio,30,5,199,20,55404
3,Rock with Roxanne,30,5,3,50,55404
4,Experienced Piano Instructor,30,5,66,30,55404
5,Mr. K's In Home Music Lessons,30,5,11,32,55404
6,Tim Lyddon piano,30,5,26,35,55404
7,Akily Music,30,5,79,25,55404
8,David Chang Music,30,5,91,70,55404
9,Piano Lessons with Dan,30,5,21,46,55404
10,Laura's Piano Lessons of Denver,30,5,10,35,55404
11,Hudson Maness,30,5,5,15,55404
12,Dr. Pei-Hsin Kao - Remote Piano/Bellevue WA,30,5,4,50,55404
13,Southern Music Academy,30,5,19,36,55404
14,Music on the Piano,30,5,,30,55404
15,Julie Lee Piano,30,5,14,50,55404
16,Beginning Piano Studio,30,4.5,42,34,55404
17,Kevin Peter Jones - Drums & Piano,30,5,30,38,55404
18,Jae Han (A4 Music Center),30,5,13,45,55404
19,Music Teacher – Jonah Lazarus,30,5,2,30,55404
20,Dr. Stephanie's Voice & Piano Studio,30,5,144,60,55404
21,Mrs. K's Music Lesson Factory,30,5,,35,55404
22,The Piano Studio of Emily Murphy,30,5,7,30,55404
23,Francesco’s Piano Tuning & Music School,30,5,78,35,55404
24,Piano and cello lessons with Christi,30,5,26,25,55404
25,"Dr. Francis Hon, DMA | New York",30,5,177,70,55404
26,Mitch Pengra Piano,30,5,,55,55404
27,Conservatory at Home Minneapolis,30,5,,,55404
28,"Rachel Morin, D.M.A.",30,5,13,30,55404
29,Rob Ro$e,30,5,3,30,55404
