,Service,Type,Rating,Hires,Price,Zip Code
0,Chicago Audio Rentals,404,5,2,15/hour,60176
1,Dancetrax Mobile DJ Entertainment,404,5,7,150/hour,60176
2,Sonic Lizard Karaoke,404,4.5,8,120/hour,60176
