,Service,Type,Rating,Hires,Price,Zip Code
0,Living Water Reiki & Wellness,496,5,16,150/lesson,02201
1,"AVIVA Reiki, Relaxation, & Healing",496,5,55,150/lesson,02201
2,"The Hands of Fatima, A Wellness Practice",496,5,54,110/lesson,02201
3,DovenStar Intuitive Reiki Center,496,5,30,175/lesson,02201
4,Heal from Within,496,5,4,165/lesson,02201
5,Crystal Reiki,496,5,,165/lesson,02201
6,Awaken Through Reiki,496,5,,150/lesson,02201
7,Dreamtime Wellness LLC,496,5,,225/lesson,02201
8,Mending Muscles,496,4.5,14,50/lesson,02201
