,Service,Type,Rating,Hires,Price,Zip Code
0,Intelligent Shading & Automation,270,5,3,,06103
1,Mr. Handyman of West Hartford,270,4.5,32,,06103
2,"Elegant Windows, LLC",270,5,2,,06103
