,Service,Type,Rating,Hires,Price,Zip Code
0,Tax Genius,22,5,114,249,08608
1,"Mosaic Consulting & Tax, PC",22,5,134,250,08608
2,Who's Your Tax Man? LLC,22,4.5,211,225,08608
3,"Steve Shapiro, EA",22,4.5,56,179,08608
4,David's Accounting & Financial Services,22,4.5,85,180,08608
5,ND Accounting and Tax Services LLC,22,5,13,200,08608
6,Michael Verderosa CPA P.C.,22,5,33,200,08608
7,KW Financial Services LLC,22,5,33,295,08608
8,Tax Max,22,5,14,160,08608
9,Elevated Bookkeeping - Remote Tax and Bookkeeping,22,5,2,169,08608
10,"Benedict George, LL.B, CPA",22,5,18,125,08608
11,Synde Murray,22,5,,175,08608
12,David Beck CPA,22,4.5,382,350,08608
13,DH Financial,22,5,8,150,08608
14,Nexus Square,22,5,24,225,08608
15,Bourque CPAs + Advisors,22,5,2,400,08608
16,Thomas Hawbaker CPA PLLC,22,5,3,,08608
17,Hunter Tax and Bookkeeping,22,5,4,100,08608
18,"Sabu Syriac CPA,MBA",22,5,85,350,08608
19,Daleyn Accountancy,22,5,45,370,08608
20,Ambassadors Financial Services,22,5,2,125,08608
21,GALACEY ACCOUNTING & BOOKKEEPING,22,5,30,185,08608
22,"Sunrise Tax and Accounting, LLC",22,5,106,150,08608
23,Top's Noble Tax Services,22,4.5,46,199,08608
24,K.A.A. Data Accounting and Tax Services,22,5,,129,08608
25,"Robin L Jordan, CPA, LLC",22,4.5,7,,08608
26,"Michael A. Brunson, CFO",22,5,,175,08608
27,Purpose & Passion Tax Company,22,5,2,300,08608
28,Dyrect Professional Services LLC,22,5,7,225,08608
29,Tax and Accounting Services Co.,22,5,24,299,08608
