,Service,Type,Rating,Hires,Price,Zip Code
0,Zenscapes Landscape Lighting,162,5,37,,28105
1,"MACK ELECTRIC LLC,NC",162,5,282,,28105
2,On Time Electrical,162,4,63,27/service,28105
3,TruBlue of Charlotte,162,5,56,,28105
4,Charlotte Electronic Solution,162,5,21,,28105
5,Circuit 5 Electrical Services LLC,162,5,14,,28105
