,Service,Type,Rating,Hires,Price,Zip Code
0,Neighbor Multi Cleaning Services,62,5,33,,02201
1,The Carpet Connection,62,5,14,,02201
2,AJM Services Corp,62,5,27,,02201
3,Earth Green x,62,5,92,200,02201
4,JSM Cleaning Solutions,62,4.5,13,,02201
5,Aurelove Cleaning Services,62,4.5,16,170,02201
6,ACS Contractors Inc.,62,5,3,,02201
7,Second Chance Pressure Washing,62,5,,,02201
8,Professional Cleaning Solutions,62,5,,,02201
9,A&J Commercial Cleaning,62,4.5,16,200,02201
10,Grand General Services Corp,62,5,11,,02201
11,Carpet Revolution Corp,62,4.5,27,200,02201
12,"Distinct Cleaning Services and Solutions, LLC",62,5,18,,02201
13,Ana Vieira,62,,,,02201
14,Ruberval nelma clean,62,,,,02201
