,Service,Type,Rating,Hires,Price,Zip Code
0,The Tec Guys,91,5,894,110/on-site,30303
1,Alpha Team Electric LLC,91,4.5,134,29/on-site,30303
2,"Hector & Associates, Co",91,5,113,150/on-site,30303
3,SAYARI ELECTRIC CO.,91,5,67,,30303
4,Diodes Llc,91,5,75,80/on-site,30303
5,Julian,91,5,138,,30303
6,"Dawson & Davison Enterprises, Inc.",91,5,322,,30303
7,"RC Super Services, LLC",91,5,234,130/on-site,30303
8,Virgo Voltage LLC,91,5,4,75/on-site,30303
9,Morris Electric,91,4.5,12,250/on-site,30303
10,Pro Lighting & Maintenance Services LLC,91,4.5,17,25/on-site,30303
11,Geovani electrical,91,5,25,150/on-site,30303
12,HLJ Electric,91,5,,,30303
13,Blue Tiger electric,91,5,,125/on-site,30303
14,JER Z BLOCK ELECTRIC,91,5,2,125/on-site,30303
15,Adelmo Galicia,91,4.5,12,200/on-site,30303
16,Watlington Electrical,91,5,,,30303
17,JER Z BLOCK ELECTRIC,91,5,,100/on-site,30303
18,Mike and Lights,91,5,,200/on-site,30303
19,FULL SCALE ELECTRICAL LLC.,91,5,,150/on-site,30303
20,Austin Turner,91,5,20,,30303
21,Current Professional Electrical,91,5,28,,30303
