,Service,Type,Rating,Hires,Price,Zip Code
0,1625 Design and Build,138,5,,,10007
1,Simply Divine Renovation LLC,138,5,11,,10007
2,General Construction & Demolition,138,4.5,94,,10007
3,"Streets and Avenues Development, Corporation",138,4.5,29,,10007
4,Prolux Restoration LLC,138,5,,,10007
5,Hap construction,138,5,,,10007
6,KBR Design and Build,138,4.5,,,10007
7,Lou Fix Home Improvements Corp.,138,5,12,,10007
8,Ariel Consultants,138,5,52,,10007
9,COL NY CONSTRUCTION,138,5,3,,10007
10,Urban Office Architecture PLLC,138,5,19,,10007
11,Megaimprovement.inc,138,5,,,10007
12,M & N Construction Company,138,4.5,18,,10007
13,Florooter Sewer & Drain,138,4.5,153,,10007
14,Galaxy construction usa corp,138,5,,40/on-site,10007
15,Highline Cabinetry & Design,138,5,4,,10007
16,New Space Renovation Inc,138,4.5,8,,10007
17,"Andrew L. Pettit, Architect",138,5,,,10007
18,Anytime Roofing & Chimney,138,5,41,,10007
19,Knockout Renovation Services Inc.,138,5,,,10007
20,Friendly Plumbing Heating and Cooling,138,5,,,10007
21,Joshuas Commission Construction LLC,138,5,4,,10007
22,43hundred Design,138,5,5,,10007
