,Service,Type,Rating,Hires,Price,Zip Code
0,Go Fresh Clean,148,5,2,119,73102
1,StartToFinish Cleaning,148,4.5,75,82,73102
2,Maria’s cleaning Services,148,5,52,80,73102
3,Flawless Housekeeping & Organizing,148,4.5,9,1,73102
4,New Moon Cleaning LLC,148,5,16,,73102
5,Dorothy May Cleaning Co. LLC,148,5,,80,73102
6,Guys remodeling,148,5,,80,73102
7,germrip,148,5,,,73102
8,Cleaning Perform LLC,148,5,,80,73102
9,J&L cleaning pros,148,5,,,73102
10,Pizza hut,148,,,102,73102
11,Especially Cleaning,148,,,80,73102
12,Maid Easy Housekeeping,148,5,6,80,73102
