,Service,Type,Rating,Hires,Price,Zip Code
0,AA Ortega Construction,238,5,452,150/service,95112
1,Spectrum Lighting & Services,238,5,14,85/consult,95112
2,Aura Telecom,238,4.5,35,,95112
3,Tech Construction J V,238,5,,150/on-site,95112
4,Tech Squad Inc,238,4.5,13,175/on-site,95112
