,Service,Type,Rating,Hires,Price,Zip Code
0,Punctuality Carpet Cleaning,207,5,74,,21401
1,bubble bubbles cleaning services,207,5,5,100,21401
2,Custom Cleaning Company,207,5,8,,21401
3,Professional Rug and Upholstery Cleaning,207,,,149,21401
