,Service,Type,Rating,Hires,Price,Zip Code
0,Original Florida Painting Co,154,5,13,,33602
1,360 Painting of Lutz,154,5,34,,33602
2,M&B PRO,154,5,18,,33602
3,Octopus painting,154,5,15,1/on-site,33602
4,VENE PAINTING SERVICES INC,154,5,8,1/on-site,33602
5,Prodigious Painting LLC,154,4.5,64,,33602
6,JR American Painting LLC,154,5,36,,33602
7,Powerblast services LLC painting & power washing,154,4,63,,33602
8,Precise Painting Solutions,154,5,21,,33602
9,"Palm and Oak Painting, Inc.",154,4.5,42,,33602
10,Calan Services,154,5,3,,33602
11,"Rain Services, LLC",154,,2,,33602
12,Alpha home improvement,154,5,,,33602
13,A.R.D. Llc,154,5,,,33602
14,TruBlue of Tampa,154,5,20,,33602
15,D&S Restorations,154,,,,33602
