,Service,Type,Rating,Hires,Price,Zip Code
0,Soundbox Entertainment,23,4.5,171,290,98105
1,Silvicious Productions,23,5,38,300,98105
2,DJ SHEILA E,23,5,12,499,98105
3,"DjMercer.wiki, Wedding DJ, Events,",23,5,238,750,98105
4,CessionNation,23,5,13,670,98105
5,Dj Zeta,23,5,41,200,98105
6,VCV DJ and Entertainment,23,5,,400,98105
7,BG2 Entertainment Co.,23,5,32,150,98105
8,Flux VJ,23,5,31,395,98105
9,One Nite Entertainment,23,5,2,200,98105
10,Trevaun Myrie aka DJ Myrie,23,5,2,200,98105
11,MoxieVibes,23,,,100,98105
12,O3 Ent.,23,1,,150,98105
13,Ives Audio - Dj & Photo Booth,23,5,13,225,98105
