,Service,Type,Rating,Hires,Price,Zip Code
0,Execute Training,7,5,8,40,53205
1,ISAAK HAWK COACHING,7,5,52,60,53205
2,Beau Gardner,7,5,142,"1,000",53205
3,TMaura,7,5,,135,53205
4,Frank Puccio,7,5,2,60,53205
5,Nathan P Fitness,7,5,8,75,53205
6,Markstrong Training,7,5,11,50,53205
7,Xavier Sanchez,7,5,2,30,53205
8,Wave Fitness $270 for 10x60min,7,5,20,27,53205
9,Klasik Fit,7,5,36,,53205
10,Runonheart Personal Training Fitness and Nutrition,7,5,18,65,53205
11,Med Tabar,7,5,,70,53205
12,Kickoff: Daily remote training for $3/day,7,5,,,53205
13,Kanthaka Personal Trainers and Yoga Instructors,7,4.5,52,42,53205
14,Elite Training,7,5,2,60,53205
15,Edify Fitness,7,5,,90,53205
16,Justin Cayton,7,5,,70,53205
17,Rising Tide Wellness,7,5,,55,53205
18,Odd Fit LLC,7,5,,50,53205
19,Zion Health and Wellness,7,5,298,60,53205
20,Run For Life Performance & Physical Therapy,7,5,,95,53205
21,"GIRLS ONLY, 📍LOS ANGELES/ OFFER REMOTE TRAINING",7,5,64,110,53205
22,HypertroFit LLC,7,5,185,255,53205
23,Wave Fitness,7,5,30,27,53205
24,"Dr Val Fiott, Health, Fitness & Wellness Coach",7,5,,100,53205
25,Todd's Health Zone,7,5,7,40,53205
26,Virtual Wedding Officiant NY/NJ,7,5,682,75,53205
27,RX Fit,7,5,21,100,53205
28,"Michelle Williams, Totality Living Well",7,5,2,,53205
29,Slopeside Fitness LLC,7,5,,50,53205
