,Service,Type,Rating,Hires,Price,Zip Code
0,"Aristocrat Air, Inc.",168,5,165,,30303
1,"Safe home restoration, LLC",168,5,22,75/on-site,30303
2,Mr. Mold Removal,168,5,51,,30303
3,Grady Property Restoration,168,5,27,,30303
4,Pure Home,168,4.5,13,,30303
5,Clear Air Quality,168,5,,250/on-site,30303
6,Taylord 2U Home/Commercial Inspection,168,5,18,180/on-site,30303
7,CGS Waterproofing LLC,168,4.5,15,,30303
8,Crawlspace Medic,168,5,3,,30303
9,Mold Experts of Atlanta LLC,168,5,,100/on-site,30303
10,Aquadry Waterproofing,168,4,46,,30303
