,Service,Type,Rating,Hires,Price,Zip Code
0,Adams Electrical Systems LLC,162,5,78,,29217
1,Blackstar Electrical Pros LLC,162,5,9,100/service,29217
2,Balldrof Commercial and Residential Services,162,4.5,211,,29217
