,Service,Type,Rating,Hires,Price,Zip Code
0,Hillary Dunkley Music Studio,482,5,4,25,21202
1,Ryan Fedak,482,5,24,55,21202
2,Klodina Kabashi Morina,482,5,12,,21202
3,Daniel Wasse,482,5,15,35,21202
4,ARTchieve Studio,482,5,17,35,21202
5,Jazz Piano Lessons,482,5,11,45,21202
6,Beyond Bass & Music Theory Lessons,482,5,23,30,21202
7,David Lester Music,482,5,2,30,21202
8,Wang’s viola and violin studio,482,5,,31,21202
9,Kobi Davidson,482,5,,32,21202
10,Garrett Pelland,482,5,,35,21202
11,Rickelton Music,482,5,9,30,21202
12,Fedor Ouspensky,482,5,24,40,21202
13,Studio of Marc Donnelly - Piano and Voice Lessons,482,5,8,,21202
14,Music on The Move,482,,,35,21202
15,Jeff Larson-Guitar Instructor,482,5,,25,21202
16,Hanuman Music,482,5,,35,21202
17,Guitar Lessons with Tempee Warmack,482,5,17,30,21202
18,Joshua Mlodzianowski Private Lessons Instructor,482,5,,40,21202
19,Greg Cromwell,482,4.5,26,35,21202
