,Service,Type,Rating,Hires,Price,Zip Code
0,Rich Bryant Acoustic,409,5,52,120/hour,46225
1,Louis Pettinelli Entertainment (Chicago Branch),409,5,50,200/hour,46225
2,"Strawbury Jam, Modern Country Rock",409,5,,350/hour,46225
3,Pop Rox Trio,409,5,,400/hour,46225
4,Bob Dellaposta & The Broken String Band,409,5,5,,46225
5,"Matt Snow, ""The Cincinnati Sinatra""",409,5,3,250/hour,46225
6,Sojournrocs,409,5,3,500/hour,46225
7,Motown Revue feat. Motown Reflections,409,5,15,"1,000/hour",46225
8,HiFi Honey - Pop/Country/Rock,409,,,,46225
9,Different Hats Music,409,5,,475/hour,46225
10,Different Hats Music,409,,,675/hour,46225
11,Brad Wehlitz,409,5,3,,46225
12,Common Ground,409,3.5,,350/hour,46225
