,Service,Type,Rating,Hires,Price,Zip Code
0,🔮 Psychic & Tarot 🔮 The Star Whisperer,290,5,68,44,68502
1,Crystal Seed Tarot,290,5,27,30,68502
2,Psychic Medium Kevin Kas,290,5,40,95/hour,68502
3,🔮Psychic Sandy🔮 LOVE ❤️ SPECIALIST,290,5,294,35,68502
4,Psychic Medium Erica Clem,290,5,110,27,68502
5,A Way Home/Love and Light Hands on Healing,290,5,129,30,68502
6,Spiritual Psychic Trey Leon,290,5,25,30,68502
7,Tarot Card Reader Angela Lucy,290,4.5,526,37,68502
8,The Chakra Oracle,290,5,15,26,68502
9,The Soul Coach,290,5,5,22,68502
10,"Spiritual Web Communications, LLC",290,5,3,30,68502
11,"Lisa Sutton: counselor, consulting hypnotist",290,5,157,30,68502
12,"Pixye Dust, Reiki Master/Tarot Card Reader",290,5,27,33,68502
13,Soul Timeless Tarot,290,5,29,25,68502
14,Tarot BAE,290,5,17,30,68502
15,Mackenzie Iglesias,290,5,5,33,68502
16,Ms Angelique Luna Intuitive Psychic Coach,290,5,30,30,68502
17,Sync with Divinities,290,5,,25,68502
18,Spiritual Tarot Card Reader/Adviser,290,5,155,35,68502
19,peace by sakari (mobile masseuse),290,5,9,33,68502
20,Psychic Medium Christie Scorpiomoon Healing,290,5,153,25,68502
21,Psychic Connection Co,290,5,47,25,68502
22,Natalia's Psychic Studio,290,5,6,35,68502
23,Readings by Rebecca,290,5,3,35,68502
24,"Transformation Time With Lilly, L.L.C.",290,5,139,75,68502
25,Psychic professor reiki healing room,290,5,,20,68502
26,Sonia Explores,290,5,5,25,68502
27,Scorpio_Sun_and_Moon,290,5,43,33,68502
28,Smileys Tarrot Reading,290,4.5,21,40,68502
29,Jewel Consultancy,290,5,3,35,68502
