,Service,Type,Rating,Hires,Price,Zip Code
0,"Grime-b-Gone, LLC",202,5,237,200,32202
1,Pristine Pressure Washing & Exterior Services,202,5,2,,32202
2,Suitable Soft Wash,202,5,20,150,32202
3,WATER PISTOL PRESSURE WASHING,202,5,8,300,32202
4,North Florida Pro Wash,202,5,,,32202
5,Top Notch Window Cleaning and Pressure Washing,202,5,12,225,32202
6,Diamond Power Washing & Maintenance Inc,202,5,,,32202
7,"Power Wash Pros, LLC.",202,5,,,32202
8,Smooth Move Cleaning etc. LLC,202,5,9,400,32202
9,Twin Turbo Pressure Wash LLC,202,5,,300,32202
10,"First Responder Pressure Washing, LLC",202,5,,2,32202
11,Horace roof repairs/,202,2,,,32202
12,Jackson’s Exterior Solutions,202,4,,150,32202
