,Service,Type,Rating,Hires,Price,Zip Code
0,Salazar Investigations,323,5,34,,33132
1,CII,323,4.5,38,85/hour,33132
2,🏆 Detective Chris | Solved It Investigations,323,5,282,250/hour,33132
3,F3 Intelligence Corp,323,5,70,250/hour,33132
4,Bower PI,323,5,,,33132
5,Toltec Investigations,323,5,103,150/hour,33132
6,Studium LLC,323,5,6,80/hour,33132
7,StarJMC Investigations,323,5,2,,33132
8,Online Dating Investigation * Identity * Catfish *,323,5,24,200/hour,33132
9,Certified Security and Investigations,323,5,19,140/hour,33132
10,ACOP(Investigations/Security),323,4.5,85,80/hour,33132
11,Redbeard Intelligence & Investigation,323,5,8,250/hour,33132
12,"Precision One, Inc.",323,4.5,32,100/hour,33132
13,Harbortown Investigative Services & Consulting LLC,323,5,9,75/hour,33132
14,Security Integrity Solutions,323,5,,80/hour,33132
15,AncesTree,323,5,50,,33132
16,SERAPH Inc.,323,4,201,75/hour,33132
17,S.P.I. Group Inc.,323,,,,33132
18,Cal State Recovery,323,4,91,65/hour,33132
19,DavisDNA & Family Research,323,5,27,,33132
20,Green Knight Digital Investigations LLC,323,5,,100/hour,33132
21,Wessel Forensic Accounting,323,,2,125/hour,33132
22,A View From the Past,323,5,36,,33132
23,A Balanced Life,323,5,6,,33132
24,RMS Family Research,323,5,10,,33132
25,BMC ENTERPRISE,323,5,,90/hour,33132
26,Massage by Carlos,323,4.5,49,,33132
27,NG Lineages,323,5,,,33132
28,Lyght Detective Agency,323,4,66,,33132
29,"Hybrid-Training, LLC",323,5,27,,33132
