,Service,Type,Rating,Hires,Price,Zip Code
0,Body Escape,273,5,,,78207
1,Journeys with Julita Holistic Health Coaching,273,5,,85/session,78207
2,VitaLifeCenter,273,5,,125/session,78207
3,Anne’s Professional Massage,273,5,53,75/session,78207
4,Virtual Fitness,273,4.5,18,65/session,78207
5,"XYZ Life Coach, Board-Cert. & Masters Dgr. / SA-TX",273,,,65/session,78207
6,Massage by Yardley,273,5,5,,78207
7,VitaLife Center,273,,,100/session,78207
8,Chemical & Heavy Metal Detox Specialist,273,5,2,225/session,78207
