,Service,Type,Rating,Hires,Price,Zip Code
0,Defiant Remodeling,6,4.5,8,,75207
1,Safeguard Bath Systems of Texas LLC,6,4.5,6,,75207
2,Beyond Excellent Construction Kompany,6,5,,50/on-site,75207
3,Ryon Construction Group,6,4.5,3,,75207
4,Foundation repair,6,4.5,4,,75207
5,JPC painting & remodeling,6,5,62,,75207
6,H & E Remodeling and Painting Company,6,5,,,75207
7,Task Force NTX LLC,6,4.5,9,,75207
8,Big beard plumbing and remodeling,6,5,12,,75207
9,PMC Construction,6,,,,75207
10,Dallas Remodeling Group LLC,6,5,,,75207
11,Hackett Plbg. & Remodel,6,4.5,45,,75207
12,Gregory Hagmann Architect,6,4,17,,75207
13,Richard Alligood Custom Homes LLC,6,5,,,75207
14,TTB,6,4,3,,75207
15,Jubilee Marble & Granite,6,4.5,99,,75207
16,J&A Painting LLC,6,5,,,75207
