,Service,Type,Rating,Hires,Price,Zip Code
0,Great Dane Realty,196,5,15,,87102
1,Brickleys Property Solutions,196,4.5,,,87102
2,AIM Properties,196,5,,,87102
3,Real Property Management Rio Grande,196,3.5,,,87102
4,Couture Brokerage,196,3,2,,87102
