,Service,Type,Rating,Hires,Price,Zip Code
0,CSL Home Advisor LLC,37,5,80,,98105
1,The Handyman Guy,37,5,79,159,98105
2,Pro Appliance Repair,37,4.5,282,75/service,98105
3,Solo Appliance Repair,37,4,153,79/service,98105
4,Appliance Forces,37,5,85,85/service,98105
