,Service,Type,Rating,Hires,Price,Zip Code
0,Wildwood Digital Media,434,5,25,,97201
1,WeCreate,434,5,28,,97201
2,Beige Cashmere Portland,434,5,9,,97201
3,Rex Production & Post,434,5,,,97201
4,Ben Dawley Video Services,434,4.5,7,,97201
5,IGPhotography,434,5,24,,97201
6,Megan Rayo - Lightning Creative Video,434,5,,,97201
7,Grand Scope Films,434,5,7,,97201
8,GMS Media & Advertising,434,5,,,97201
9,Henhouse Productions LLC,434,5,,,97201
10,Kyle Berkompas,434,5,,,97201
11,Northwest Video,434,5,3,,97201
12,Silverman Studios | 100% Biz Vids | No Weddings,434,5,3,,97201
13,Shields Films Inc.,434,5,,,97201
14,Prepared Marketing,434,5,,,97201
15,PY Media,434,5,,,97201
16,"Faithful Dog Digital - Portland, OR",434,,,,97201
17,Prime Design Media,434,5,,,97201
18,Hearts Intertwined Productions,434,5,,,97201
19,Smokescreen Media,434,5,35,,97201
20,Johnny K. James Photography,434,5,41,,97201
21,"Corpus Callosum: Video, Photography & Design",434,,,,97201
22,StoriesUp - Portland,434,,,,97201
