,Service,Type,Rating,Hires,Price,Zip Code
0,Infinite Premier Services,58,4.5,59,115/consult,11021
1,Francisco Sanchez,58,5,14,80/consult,11021
2,Ravesh Rabindranauth,58,4,26,,11021
3,Pro Grid Electric,58,5,34,,11021
4,8 Point Audio Video Electrical,58,4.5,19,75/on-site,11021
5,"Jetco Electrical Contractors, LLC",58,5,140,,11021
6,Triple T Electric,58,5,15,,11021
7,Piamonte Electrical Services.,58,5,2,175/consult,11021
8,Electrician NYC LLC,58,5,5,,11021
9,Peter Rosado,58,,,500/consult,11021
10,KCELECTRICALCONTRACTOR LLC,58,5,59,587/consult,11021
11,PHP7 Electrical!!,58,5,22,110/service,11021
12,BQ Consulting,58,5,19,70/on-site,11021
13,"Michael Fitch Electric, LLC",58,5,16,75/service,11021
14,Chan Electric,58,5,,,11021
15,KVF smart improvements,58,5,,100/on-site,11021
16,Better,58,5,,80/on-site,11021
17,Summit Automation And Security,58,5,34,200/service,11021
18,Noe carrero,58,,,,11021
19,Michael vasquez,58,,,,11021
