,Service,Type,Rating,Hires,Price,Zip Code
0,COUNTER MEASURES DIRECT CMD FOUNDATION UNLIMITED,352,5,8,27/hour,23219
1,Multinational Atlas Protection Agency,352,4.5,11,35/hour,23219
2,CMD UNLIMITED LLC,352,5,,30/hour,23219
3,First Defense Security and Investigations,352,,2,25/hour,23219
