,Service,Type,Rating,Hires,Price,Zip Code
0,A plus Tile And Stone Installation,244,5,54,,32202
1,Master remodeling & design,244,5,4,,32202
2,Fuiza Floors Corp.,244,5,,,32202
3,East Coast DryMaster LLC,244,5,97,90-$700,32202
4,JDog Carpet Cleaning and Floor Care Southside,244,5,40,99-$690,32202
5,Floor Grip Medic LLC,244,5,42,,32202
6,Quality Carpet Care,244,5,45,,32202
7,"C&C Carpet Care, LLC",244,5,390,,32202
8,JAX HANDYMAN,244,5,14,,32202
9,Klean kingz llc,244,5,2,"125-$1,025",32202
10,"Cleaning Specialties of North Florida, LLC",244,5,,,32202
11,AAIB TILE LLC,244,5,,,32202
12,1-800 Water Damage of South Jacksonville,244,5,,"135-$1,125",32202
13,T & U Cleaning Solutions LLC.,244,5,,,32202
