,Service,Type,Rating,Hires,Price,Zip Code
0,Just Like Home Rentals,196,5,,,37219
1,PMI Middle TN,196,4.5,18,,37219
2,Real Property Management Key Response,196,5,2,,37219
3,Copper Key Realty & Management,196,4.5,,,37219
4,FYVE Realty,196,4.5,,,37219
5,HoskinsLLC,196,5,,,37219
6,"Property Management Inc., Pmi Professionals",196,,,,37219
7,Real Property Management Investor's Choice,196,5,11,,37219
